Link,Size (KB),# of Outlinks,Content Type
https://www.foxnews.com/opinion/roseanne-is-back-not-before-cancel-culture-freaked-about-one-tweet-while-giving-most-hollywood-pass.amp,192.5986328125,272,text/html
https://www.foxnews.com/video/6362696935112,72.69140625,71,text/html
https://www.foxnews.com/video/6362635888112,76.3203125,78,text/html
https://www.foxnews.com/person/b/bret-baier,152.666015625,366,text/html
https://www.foxnews.com/video/6362466197112,73.5703125,71,text/html
https://www.foxnews.com/video/6362733823112,68.2822265625,71,text/html
https://www.foxnews.com/video/topics/politics/executive,311.736328125,114,text/html
https://www.foxnews.com/video/6359616734112,69.6962890625,73,text/html
https://www.foxnews.com/video/6362643720112,73.0283203125,70,text/html
https://www.foxnews.com/video/topics/us/us-regions/northeast/new-york,285.1953125,114,text/html
https://www.foxnews.com/politics/hyperpartisan-environment-msnbc-drawing-fire-anti-trump-pro-harris-programming.amp,175.5595703125,275,text/html
https://www.foxnews.com/media/controversial-democrat-mayor-henyard-investigation-wild-tirades-police-raids-lavish-spending,262.0947265625,343,text/html
https://www.foxnews.com/video/6362568592112,74.48828125,74,text/html
https://www.foxnews.com/video/topics/politics/executive/white-house,306.447265625,114,text/html
https://www.foxnews.com/media/fox-nation-reflects-on-former-president-jimmy-carters-faith-having-an-influence,218.34375,331,text/html
https://www.foxnews.com/media/antisemitism-todays-college-campuses-echoes-dark-past-elite-american-universities.amp,177.3671875,276,text/html
https://www.foxnews.com/lifestyle/why-jimmy-carter-father-post-presidency-power-status.amp,216.8701171875,285,text/html
https://www.foxnews.com/video/6362571201112,75.84765625,76,text/html
https://www.foxnews.com/category/us/military/navy,120.48046875,351,text/html
https://www.foxnews.com/category/person/barack-obama,122.2646484375,351,text/html
https://www.foxnews.com/video/topics/world/crime,295.4375,114,text/html
https://www.foxnews.com/politics/sunday-school-church-services-play-big-part-former-president-jimmy-carters-life,230.27734375,335,text/html
https://www.foxnews.com/video/6362602612112,74.212890625,71,text/html
https://www.foxnews.com/us/navy-seal-killed-bin-laden-closure-9-11-victims,221.9267578125,331,text/html
https://www.foxnews.com/world/usama-bin-laden,187.9345703125,99,text/html
https://www.foxnews.com/video/topics/world/global-economy/crime,295.826171875,114,text/html
https://www.foxnews.com/video/topics/entertainment/genres/crime,298.0556640625,112,text/html
https://www.foxnews.com/video/6251440914001,68.53125,65,text/html
https://www.foxnews.com/video/topics/person/melania-trump,293.470703125,114,text/html
https://www.foxnews.com/politics/navy-seals-killed-bin-laden-biden-against-mission.amp,157.455078125,269,text/html
https://www.foxnews.com/video/6257376433001,70.63671875,68,text/html
https://www.foxnews.com/video/6362779262112,72.33203125,71,text/html
https://www.foxnews.com/video/topics/politics/defense,331.142578125,114,text/html
https://www.foxnews.com/entertainment/embattled-star-the-flash-ezra-miller-charged-with-felony-burglary,235.7646484375,344,text/html
